Star;Planet;Diameter;Temperature_K;Temperature_C;Moon;Distance_1000km;Period_days;Magnitude
Sun;Earth;12742;293;20;Moon;384;27.321;-12.7
Sun;Mars;6780;223;-50;Phobos;9;0.319;9
Sun;Mars;6780;223;-50;Deimos;23;1.262;12.3
Sun;Jupiter;139822;93;-180;Metis;128;0.29;20
Sun;Jupiter;139822;93;-180;Adrastea;129;0.298;18.7
Sun;Jupiter;139822;93;-180;Amalthea;181;0.498;14.1
Sun;Jupiter;139822;93;-180;Thebe;222;0.675;16
Sun;Jupiter;139822;93;-180;Io;422;1.769;5
Sun;Jupiter;139822;93;-180;Europa;671;3.551;5.3
Sun;Jupiter;139822;93;-180;Ganymede;1070;7.155;4.6
Sun;Jupiter;139822;93;-180;Callisto;1883;16.689;5.6
Sun;Jupiter;139822;93;-180;Leda;11094;238.72;20.2
Sun;Jupiter;139822;93;-180;Himalia;11480;250.57;15
Sun;Jupiter;139822;93;-180;Lysithea;11720;259.22;18.2
Sun;Jupiter;139822;93;-180;Elara;11737;259.65;16.6
Sun;Jupiter;139822;93;-180;Ananke;21200;-631;18.9
Sun;Jupiter;139822;93;-180;Carme;22600;-692;17.9
Sun;Jupiter;139822;93;-180;Pasiphae;23500;-735;16.9
Sun;Jupiter;139822;93;-180;Sinope;23700;-758;18
Sun;Saturn;116464;83;-190;Pan;134;0.57;10
Sun;Saturn;116464;83;-190;Atlas;138;0.602;18
Sun;Saturn;116464;83;-190;Prometheus;139;0.613;15.8
Sun;Saturn;116464;83;-190;Pandora;142;0.629;16.5
Sun;Saturn;116464;83;-190;Epimetheus;151;0.694;15.7
Sun;Saturn;116464;83;-190;Janus;151;0.695;14.5
Sun;Saturn;116464;83;-190;Mimas;186;0.942;12.9
Sun;Saturn;116464;83;-190;Enceladus;238;1.37;11.7
Sun;Saturn;116464;83;-190;Tethys;295;1.888;10.2
Sun;Saturn;116464;83;-190;Telesto;295;1.888;18.7
Sun;Saturn;116464;83;-190;Calypso;295;1.888;19
Sun;Saturn;116464;83;-190;Dione;377;2.737;10.4
Sun;Saturn;116464;83;-190;Helene;377;2.737;18.4
Sun;Saturn;116464;83;-190;Rhea;527;4.518;9.7
Sun;Saturn;116464;83;-190;Titan;1222;15.495;8.3
Sun;Saturn;116464;83;-190;Hyperion;1481;21.277;14.2
Sun;Saturn;116464;83;-190;Iapetus;3561;79.331;11.1
Sun;Saturn;116464;83;-190;Phoebe;12952;-550.48;16.5
Sun;Uranus;50724;76;-197;Cordelia;50;0.33;24
Sun;Uranus;50724;76;-197;Ophelia;54;0.372;24
Sun;Uranus;50724;76;-197;Bianca;59;0.433;23
Sun;Uranus;50724;76;-197;Cressida;62;0.463;22
Sun;Uranus;50724;76;-197;Desdemona;63;0.475;22
Sun;Uranus;50724;76;-197;Juliet;64;0.493;22
Sun;Uranus;50724;76;-197;Portia;66;0.513;21
Sun;Uranus;50724;76;-197;Rosalind;70;0.558;22
Sun;Uranus;50724;76;-197;Belinda;75;0.622;22
Sun;Uranus;50724;76;-197;Puck;86;0.762;20
Sun;Uranus;50724;76;-197;Miranda;130;1.414;16.5
Sun;Uranus;50724;76;-197;Ariel;191;2.52;14.4
Sun;Uranus;50724;76;-197;Umbriel;266;4.144;15.3
Sun;Uranus;50724;76;-197;Titania;436;8.706;14
Sun;Uranus;50724;76;-197;Oberon;583;13.463;14.2
Sun;Neptune;49248;72;-201;Naiad;48;0.296;25
Sun;Neptune;49248;72;-201;Thalassa;50;0.312;24
Sun;Neptune;49248;72;-201;Despina;53;0.333;23
Sun;Neptune;49248;72;-201;Galatea;62;0.429;23
Sun;Neptune;49248;72;-201;Larissa;74;0.544;21
Sun;Neptune;49248;72;-201;Proteus;118;1.121;20
Sun;Neptune;49248;72;-201;Triton;355;-5.877;13.6
Sun;Neptune;49248;72;-201;Nereid;5513;360.15;18.7
Sun;Pluto;2274;50;-223;Charon;20;-6.39;16.8
